Counter, Temperature, Humidity, Distance, Pressure
94,26.66,40.90,52,1009.42
95,26.67,40.81,54,1009.41
96,26.69,40.52,52,1009.45
97,26.69,40.34,50,1009.43
98,26.67,40.10,45,1009.45
99,26.69,39.89,50,1009.45
100,26.69,39.75,41,1009.45
101,26.73,39.58,51,1009.44
102,26.68,39.48,52,1009.45
103,26.72,39.30,62,1009.4

104,26.67,39.08,53,1009.44
105,26.71,38.88,60,1009.44
106,26.69,38.84,52,1009.43
107,26.74,38.73,52,1009.41
108,26.74,38.70,62,1009.40
109,26.73,38.56,52,1009.42
110,26.71,38.59,52,1009.43
111,26.75,38.78,39,1009.42
112,26.73,39.05,52,1009.42
113,26.79,39.19,62,1009.43
114,26.76,39.26,62,1009.43
115,26.77,39.31,51,1009.45
116,26.75,39.28,48,1009.45
117,26.75,39.28,40,1009.44
118,26.76,39.16,63,1009.43
119,26.75,39.07,41,1009.45
120,26.78,38.97,42,1009.42
121,26.76,38.92,51,1009.46
122,26.78,38.79,50,1009.43
123,26.82,38.69,57,1009.47
124,26.81,38.57,52,1009.46
125,26.79,38.50,51,1009.44
126,26.80,38.38,52,1009.45
127,26.83,38.27,60,1009.43
128,26.82,38.15,52,1009.42
129,26.78,37.95,50,1009.43
130,26.82,37.86,60,1009.41
131,26.81,37.71,42,1009.40
132,26.83,37.63,51,1009.40
133,26.80,37.47,50,1009.39
134,26.85,37.31,39,1009.41
135,26.85,37.15,42,1009.39
136,26.85,37.07,64,1009.39
137,26.85,37.08,42,1009.42
138,26.85,36.98,52,1009.41
139,26.86,36.93,63,1009.41
140,26.84,36.92,42,1009.42
141,26.86,36.87,63,1009.41
142,26.89,36.85,41,1009.41
143,26.86,36.81,42,1009.40
144,26.87,37.03,52,1009.42
145,26.86,37.18,39,1009.42
146,26.89,37.27,59,1009.40
147,26.89,37.48,49,1009.42
148,26.88,37.58,62,1009.42
149,26.89,37.65,60,1009.42
150,26.87,37.61,72,1009.43
151,26.91,37.75,50,1009.45
152,26.91,38.44,60,1009.42
153,26.92,38.96,51,1009.45
154,26.93,39.42,46,1009.43
155,26.90,39.71,37,1009.44
156,26.92,39.81,60,1009.42
157,26.95,40.21,37,1009.43
158,26.96,40.56,59,1009.45
159,26.88,40.66,49,1009.46
160,26.97,40.73,50,1009.43
161,26.96,40.75,51,1009.46
162,26.95,40.81,69,1009.44
163,26.97,40.57,38,1009.46
164,26.99,41.05,48,1009.43
165,26.98,41.56,49,1009.46
166,26.98,41.86,43,1009.45
167,26.98,41.84,62,1009.47
168,26.97,42.01,41,1009.44
169,26.97,42.40,50,1009.46
170,26.98,42.93,49,1009.46
171,26.98,43.17,49,1009.46
172,27.03,43.25,50,1009.48
173,27.03,43.45,53,1009.46
174,27.03,43.77,38,1009.47
175,27.02,43.93,38,1009.48
176,27.04,43.92,53,1009.47
177,27.04,44.33,49,1009.47
178,27.04,44.78,62,1009.50
179,27.03,45.07,49,1009.46
180,27.05,45.06,47,1009.49
181,27.03,45.02,48,1009.48
182,27.06,45.47,48,1009.49
183,27.05,45.81,58,1009.50
184,27.08,45.92,47,1009.46
185,27.06,45.80,57,1009.44
186,27.08,45.62,56,1009.46
187,27.09,45.77,60,1009.47
188,27.09,45.88,49,1009.45
189,27.08,45.92,50,1009.45
190,27.11,45.76,48,1009.46
191,27.08,45.75,62,1009.46
192,27.12,45.80,39,1009.49
193,27.14,45.91,47,1009.47
194,27.11,45.83,50,1009.48
195,27.13,45.60,39,1009.46
196,27.14,45.36,49,1009.45
197,27.10,45.37,39,1009.46
198,27.12,45.46,49,1009.46
199,27.15,45.27,48,1009.48
200,27.14,45.06,48,1009.49
201,27.13,44.78,38,1009.46
202,27.15,44.47,50,1009.48
203,27.14,44.02,51,1009.50
204,27.18,43.70,50,1009.46
205,27.17,43.52,61,1009.46
206,27.18,43.30,51,1009.46
207,27.19,43.05,50,1009.45
208,27.19,42.76,27,1009.45
209,27.17,42.46,49,1009.45
210,27.17,42.17,50,1009.48
211,27.22,42.14,38,1009.46
212,27.19,42.00,50,1009.46
213,27.25,41.84,48,1009.44
214,27.21,41.60,50,1009.51
215,27.21,41.33,59,1009.46
216,27.19,41.09,38,1009.45
217,27.25,40.90,51,1009.49
